NIVT_SAT	annee_ctr_f	nper_enq_f	npie_log_f	peri_ctr_f	puissto_f	qpay_ctr_f	tarif_f	niv_urb_f	annee_log_f	stat_log_f	type_log_f	emme_log_f	date_chf_f	chem_log_f	age_enq_f	ideal_chf_f	num_ind	i
2	1986a1988	2personnes	4pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	55a64ans	Electric	0001	18
1	1981a1985	4personnes	3pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	20Ma50Mhab	1974->81	Locataire	Individuel	entre1982et1988	avant1982	Pascheminee	35a44ans	Gazvr	0002	18
2	1981a1985	3personnes	3pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Gazvr	0003	18
2	1989a1990	5perset+	>=6piec	Indestmensu	>=12kVA	Qpay=5	Doubletarif	100Ma200Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0004	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Electric	0005	18
3	1989a1990	5perset+	>=6piec	Relevenormal	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	35a44ans	Electric	0006	18
2	1989a1990	1personne	2pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0007	18
3	1989a1990	1personne	3pieces	Relevenormal	9kVA	Qpay=6	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Cheminee	35a44ans	Electric	0008	18
2	1981a1985	3personnes	3pieces	Indestmensu	9kVA	Qpay=7	Simpletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1982et1988	avant1982	Pascheminee	35a44ans	Electric	0009	18
3	1989a1990	1personne	3pieces	Indestmensu	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Electric	0010	18
2	1989a1990	2personnes	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0011	18
2	1989a1990	2personnes	2pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Fioul	0012	18
3	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0013	18
2	1986a1988	4personnes	5pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	18a34ans	Gazvr	0014	18
3	1989a1990	5perset+	4pieces	Indestdeter	9kVA	Qpay=5	Doubletarif	100Ma200Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0015	18
2	1981a1985	5perset+	5pieces	Mensualise	>=12kVA	Qpay=6	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0016	18
3	1986a1988	3personnes	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0017	18
2	1986a1988	1personne	1piece	Indestmensu	6kVA	Qpay=4	Doubletarif	100Ma200Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0018	18
2	1981a1985	1personne	1piece	Indestdeter	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1949->73	Proprietaire	Collectif	entre1982et1988	avant1982	Pascheminee	55a64ans	Electric	0019	18
2	1989a1990	3personnes	5pieces	Relevenormal	6kVA	Qpay=7	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0020	18
2	1986a1988	1personne	2pieces	Indestmensu	9kVA	Qpay=7	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0021	18
2	1989a1990	4personnes	5pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	35a44ans	Electric	0022	18
1	1989a1990	2personnes	2pieces	Relevenormal	6kVA	Qpay=5	Doubletarif	100Ma200Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Bois	0023	18
1	1971a1980	2personnes	3pieces	Indestdeter	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Gazvr	0024	18
3	1966a1970	2personnes	4pieces	Mensualise	>=12kVA	Qpay=9	Doubletarif	100Ma200Mhab	1949->73	Proprietaire	Individuel	avant1982	avant1982	Cheminee	55a64ans	Electric	0025	18
1	1989a1990	2personnes	2pieces	Mensualise	9kVA	Qpay=7	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Electric	0026	18
